,id,ts,y,sku,customer,price,ph_level2,month,y_mean_sku_month,main_promo,medium_promo,small_promo,weeks_since_last_event,weeks_to_next_event,average_train_demand
0,0,2020-07-01,49.0,815517026005,TMALL,263.87750777822095,Ultra Repair,7,106.0,0.0,0.0,0.0,4,8,891.8636363636364
1,0,2020-08-01,1501.0,815517026005,TMALL,263.87750777822095,Ultra Repair,8,817.5,0.0,0.0,0.0,8,4,891.8636363636364
2,0,2020-09-01,103.0,815517026005,TMALL,263.87750777822095,Ultra Repair,9,404.0,0.0,1.0,0.0,0,0,891.8636363636364
3,0,2020-10-01,6780.0,815517026005,TMALL,263.87750777822095,Ultra Repair,10,3611.5,0.0,0.0,0.0,4,4,891.8636363636364
4,0,2020-11-01,3996.0,815517026005,TMALL,263.87750777822095,Ultra Repair,11,5488.5,1.0,0.0,0.0,0,0,891.8636363636364
5,0,2020-12-01,1065.0,815517026005,TMALL,263.87750777822095,Ultra Repair,12,1990.0,0.0,0.0,1.0,0,0,891.8636363636364
6,0,2021-01-01,785.0,815517026005,TMALL,263.87750777822095,Ultra Repair,1,1071.5,0.0,0.0,0.0,4,4,891.8636363636364
7,0,2021-02-01,146.0,815517026005,TMALL,263.87750777822095,Ultra Repair,2,545.5,0.0,0.0,1.0,0,0,891.8636363636364
8,0,2021-03-01,630.0,815517026005,TMALL,263.87750777822095,Ultra Repair,3,1255.5,0.0,1.0,0.0,0,0,891.8636363636364
9,0,2021-04-01,303.0,815517026005,TMALL,263.87750777822095,Ultra Repair,4,490.5,0.0,0.0,0.0,4,4,891.8636363636364
10,0,2021-05-01,102.0,815517026005,TMALL,263.87750777822095,Ultra Repair,5,1140.5,0.0,0.0,1.0,0,0,891.8636363636364
11,0,2021-06-01,1254.0,815517026005,TMALL,263.87750777822095,Ultra Repair,6,1715.0,0.0,1.0,0.0,0,0,891.8636363636364
12,0,2021-07-01,94.0,815517026005,TMALL,263.87750777822095,Ultra Repair,7,106.0,0.0,0.0,0.0,4,8,891.8636363636364
13,0,2021-08-01,134.0,815517026005,TMALL,263.87750777822095,Ultra Repair,8,817.5,0.0,0.0,0.0,8,4,891.8636363636364
14,0,2021-09-01,705.0,815517026005,TMALL,263.87750777822095,Ultra Repair,9,404.0,0.0,1.0,0.0,0,0,891.8636363636364
15,0,2021-10-01,443.0,815517026005,TMALL,263.87750777822095,Ultra Repair,10,3611.5,0.0,0.0,0.0,4,4,891.8636363636364
16,0,2021-11-01,6981.0,815517026005,TMALL,263.87750777822095,Ultra Repair,11,5488.5,1.0,0.0,0.0,0,0,891.8636363636364
17,0,2021-12-01,2915.0,815517026005,TMALL,263.87750777822095,Ultra Repair,12,1990.0,0.0,0.0,1.0,0,0,891.8636363636364
18,0,2022-01-01,1358.0,815517026005,TMALL,291.728,Ultra Repair,1,1071.5,0.0,0.0,0.0,4,4,891.8636363636364
19,0,2022-02-01,945.0,815517026005,TMALL,287.448372781065,Ultra Repair,2,545.5,0.0,0.0,1.0,0,0,891.8636363636364
20,0,2022-03-01,1881.0,815517026005,TMALL,258.570757193337,Ultra Repair,3,1255.5,0.0,1.0,0.0,0,0,891.8636363636364
21,0,2022-04-01,678.0,815517026005,TMALL,276.937506596306,Ultra Repair,4,490.5,0.0,0.0,0.0,4,4,891.8636363636364
22,0,2022-05-01,2179.0,815517026005,TMALL,261.204415584416,Ultra Repair,5,1140.5,0.0,0.0,1.0,0,0,891.8636363636364
23,0,2022-06-01,2176.0,815517026005,TMALL,240.064605042017,Ultra Repair,6,1715.0,0.0,1.0,0.0,0,0,891.8636363636364
